Wall time,Step,Value
1741887455.5437293,1013500,-6443.88720703125
1741887641.9484723,1018000,-12337.947265625
1741887662.101319,1018500,-6887.490234375
1741887807.3036642,1022000,-19427.67578125
1741887890.205907,1024000,-22466.88671875
1741888036.9457457,1027500,-8515.9599609375
1741888058.4344594,1028000,-14968.2587890625
1741888308.1120193,1034000,-7793.66455078125
1741888369.5286078,1035500,-10262.658203125
1741888553.2625148,1040000,-8129.3369140625
1741888716.9309392,1044000,-17731.701171875
1741888758.0121472,1045000,-19903.35546875
1741888921.456643,1049000,-12487.1259765625
1741888941.4727104,1049500,-14059.69140625
1741888982.4611325,1050500,-8777.689453125
1741889044.928739,1052000,-18307.072265625
1741889084.97203,1053000,-4920.775390625
1741889166.3080633,1055000,-8292.7197265625
1741889186.2780197,1055500,-13857.810546875
1741889269.043447,1057500,-8046.25634765625
1741889289.632307,1058000,-9413.0791015625
1741889371.3083332,1060000,-8036.2958984375
1741889391.4729161,1060500,-7277.67919921875
1741889453.022437,1062000,-14853.54296875
1741889472.704612,1062500,-30746.517578125
1741889534.1302214,1064000,-6719.78955078125
1741889716.7825,1068500,-2672.390380859375
1741889777.8639898,1070000,-19571.857421875
1741889967.7987788,1075000,-19642.53515625
1741890159.0761666,1080000,-18165.6171875
1741890217.401863,1081500,-10649.373046875
1741890350.8974001,1085000,-7756.6025390625
1741890483.6104321,1088500,-19402.384765625
1741890694.067008,1094000,-8279.5283203125
1741890732.4734654,1095000,-12918.0009765625
1741890827.2785532,1097500,-12822.369140625
1741890923.1884406,1100000,-17447.474609375
1741890961.732625,1101000,-16099.63671875
1741891000.5127797,1102000,-8939.1376953125
1741891124.4723797,1105000,-13642.2705078125
1741891165.8129814,1106000,-20116.28515625
1741891227.419057,1107500,-15244.9384765625
1741891248.9780564,1108000,-13602.828125
1741891372.8124473,1111000,-2930.3447265625
1741891456.5523767,1113000,-15447.130859375
1741891686.4673347,1118500,-9020.203125
1741891748.9964602,1120000,-13446.935546875
1741891856.2152226,1122500,-12501.5322265625
1741892134.7557433,1129000,-13047.5556640625
1741892284.1390615,1132500,-8758.841796875
1741892348.6526134,1134000,-20952.880859375
1741892648.6837795,1141000,-6372.7099609375
1741892883.5061162,1146500,-1887.541748046875
1741893055.5125425,1150500,-8529.7587890625
1741893162.6111758,1153000,-7338.70361328125
1741893184.263233,1153500,-7758.1220703125
1741893290.9735956,1156000,-16619.400390625
1741893398.4794772,1158500,-1197.402587890625
1741893461.9648302,1160000,-10399.673828125
1741893569.5892181,1162500,-3319.79296875
1741893740.7038798,1166500,-9884.81640625
1741893804.5221517,1168000,-3986.361572265625
1741893955.636356,1171500,-11306.5673828125
1741893976.6623733,1172000,-13312.5419921875
1741893998.619583,1172500,-3323.997802734375
1741894040.1374543,1173500,-9465.7451171875
1741894169.1781025,1176500,-15139.6748046875
1741894277.4501305,1179000,-18579.384765625
1741894319.982244,1180000,-6218.20166015625
1741894620.660443,1187000,-7990.7890625
1741894857.8182154,1192500,-8081.95703125
1741894964.5746245,1195000,-8681.8994140625
1741895007.2068129,1196000,-11860.4072265625
1741895049.8383963,1197000,-11718.2705078125
1741895072.0447547,1197500,-10016.6416015625
1741895136.003809,1199000,-4849.576171875
1741895157.7906733,1199500,-14725.361328125
1741895800.2272644,1214500,-16468.150390625
1741895864.3022597,1216000,-13254.3154296875
1741895949.2060452,1218000,-9708.671875
1741895969.7662551,1218500,-12961.5810546875
1741896077.6715257,1221000,-7661.38720703125
1741896098.4742002,1221500,-3256.476318359375
1741896355.7199655,1227500,-2953.998779296875
1741896527.3604681,1231500,-7651.38720703125
1741896570.2858255,1232500,-11042.857421875
1741896592.459239,1233000,-11441.099609375
1741896678.4351432,1235000,-10907.580078125
1741896764.340194,1237000,-6214.7255859375
1741896848.9980562,1239000,-10295.4716796875
1741897019.9350548,1243000,-12773.349609375
1741897105.9633963,1245000,-32507.30078125
1741897191.4438956,1247000,-15039.4169921875
1741897298.6915443,1249500,-7200.39892578125
1741897342.1552968,1250500,-12603.4345703125
1741897406.5737991,1252000,-6257.98486328125
1741897449.6107867,1253000,-7615.18017578125
1741897471.7225628,1253500,-12704.75390625
1741897514.7795725,1254500,-9916.9931640625
1741897621.513959,1257000,-7498.48291015625
1741897707.2668152,1259000,-11494.1630859375
1741897727.986185,1259500,-23324.3203125
1741897749.806397,1260000,-9675.0244140625
1741897793.1844118,1261000,-12010.4736328125
1741897836.260352,1262000,-5756.31982421875
1741897942.9407609,1264500,-8647.7841796875
1741897985.6134446,1265500,-6713.08154296875
1741898157.2557242,1269500,-6507.90380859375
1741898264.8238475,1272000,-15225.5263671875
1741898735.2672539,1283000,-5408.39111328125
1741898757.604587,1283500,-9871.806640625
1741898803.3017402,1284500,-11907.4921875
1741898959.142207,1288000,-10571.1865234375
1741899002.2675464,1289000,-14348.6015625
1741899024.3384619,1289500,-9606.525390625
1741899131.4834902,1292000,-19171.419921875
1741899153.5841746,1292500,-16548.7578125
1741899174.5988288,1293000,-3745.68994140625
1741899239.7527976,1294500,-15161.8125
1741899260.4929292,1295000,-15301.361328125
1741899325.857802,1296500,-12507.005859375
1741899476.5591352,1300000,-10209.82421875
1741899519.6243362,1301000,-11734.7783203125
1741899626.5713906,1303500,-8612.177734375
1741899862.5874817,1309000,-6105.8349609375
1741899883.3279562,1309500,-7065.58447265625
1741899905.8278089,1310000,-3727.170166015625
1741900077.8851533,1314000,-8988.5849609375
1741900098.6490955,1314500,-2697.813720703125
1741900207.3384562,1317000,-3980.302001953125
1741900228.3856156,1317500,-6398.4453125
1741900250.6100476,1318000,-10829.8798828125
1741900271.651054,1318500,-15192.4189453125
1741900314.9260046,1319500,-6917.36572265625
1741900336.8223674,1320000,-9423.7890625
1741900357.624555,1320500,-9562.8271484375
1741900422.6668172,1322000,-15071.9306640625
1741900791.6807165,1330500,-4363.2265625
1741900835.132352,1331500,-11489.060546875
1741901007.3910525,1335500,-12862.65625
1741901028.2224653,1336000,-3982.379638671875
1741901050.3554337,1336500,-5327.25830078125
1741901093.5836763,1337500,-13690.458984375
1741901244.022709,1341000,-6207.99267578125
1741901309.0536997,1342500,-15646.001953125
1741901352.4555123,1343500,-7737.6748046875
1741901416.3447266,1345000,-9406.9833984375
1741901458.9461339,1346000,-6210.60791015625
1741901501.7273507,1347000,-8031.65478515625
1741901696.8986316,1351500,-11829.4375
1741901783.9036279,1353500,-15863.7900390625
1741901826.7552323,1354500,-20035.703125
1741901913.2690895,1356500,-18497.9375
1741901935.4848084,1357000,-12001.876953125
1741902021.554413,1359000,-19135.986328125
1741902042.482898,1359500,-1787.9842529296875
1741902064.6600194,1360000,-7935.74169921875
1741902171.0901716,1362500,-17516.392578125
1741902279.3334596,1365000,-14746.8359375
1741902300.2721808,1365500,-10841.4609375
1741902386.2796862,1367500,-15089.0546875
1741902493.5132697,1370000,-11713.9970703125
1741902515.4956396,1370500,-2143.8271484375
1741902536.4202573,1371000,-12625.4208984375
1741902600.7970881,1372500,-18974.583984375
1741902621.7031193,1373000,-2128.330810546875
1741902794.0745103,1377000,-10386.603515625
1741902816.1934714,1377500,-7747.42333984375
1741902836.9256682,1378000,-9104.642578125
1741902944.120503,1380500,-10560.1552734375
1741902965.0640042,1381000,-20561.28515625
1741903050.6564858,1383000,-1860.582763671875
1741903115.128451,1384500,-12759.9775390625
1741903178.6150725,1386000,-10695.5869140625
1741903221.2730541,1387000,-4553.88330078125
1741903264.4759371,1388000,-17701.501953125
1741903327.9848764,1389500,-12556.3603515625
